ID;VALEUR;DATE
1;4327.02;2019-04-08 15:22:57.0
1;4327.38;2019-04-08 15:24:02.0
1;4327.57;2019-04-08 15:24:25.0
1;4327.38;2019-04-08 15:24:44.0
1;4327.57;2019-04-08 15:24:46.0
1;4327.38;2019-04-08 15:24:47.0
1;4327.49;2019-04-08 15:25:06.0
1;4327.92;2019-04-08 15:25:26.0
1;4327.49;2019-04-08 15:25:30.0
1;4327.92;2019-04-08 15:25:31.0
1;4327.49;2019-04-08 15:25:33.0
1;4327.92;2019-04-08 15:25:40.0
1;4327.49;2019-04-08 15:25:44.0
1;4327.92;2019-04-08 15:25:47.0
1;4327.49;2019-04-08 15:25:48.0
1;4327.73;2019-04-08 15:25:51.0
1;4327.49;2019-04-08 15:25:52.0
1;4327.73;2019-04-08 15:25:53.0
1;4327.49;2019-04-08 15:25:55.0
1;4327.73;2019-04-08 15:26:02.0
1;4327.49;2019-04-08 15:26:06.0
1;4327.73;2019-04-08 15:26:10.0
1;4327.8;2019-04-08 15:26:30.0
1;4327.64;2019-04-08 15:26:54.0
1;4327.38;2019-04-08 15:27:15.0
1;4327.64;2019-04-08 15:27:35.0
1;4327.56;2019-04-08 15:27:55.0
1;4327.47;2019-04-08 15:28:17.0
1;4327.78;2019-04-08 15:28:38.0
1;4327.85;2019-04-08 15:28:59.0
1;4328.11;2019-04-08 15:29:22.0
1;4328.08;2019-04-08 15:29:42.0
1;4328.2;2019-04-08 15:30:06.0
1;4327.94;2019-04-08 15:30:25.0
1;4328.2;2019-04-08 15:30:26.0
1;4327.94;2019-04-08 15:30:28.0
1;4327.9;2019-04-08 15:30:45.0
1;4328.61;2019-04-08 15:31:07.0
1;4327.9;2019-04-08 15:31:08.0
1;4328.61;2019-04-08 15:31:09.0
1;4328.77;2019-04-08 15:31:29.0
1;4327.9;2019-04-08 15:31:51.0
1;4327.92;2019-04-08 15:32:12.0
1;4327.33;2019-04-08 15:32:56.0
1;4327.03;2019-04-08 15:33:15.0
1;4327.33;2019-04-08 15:33:17.0
1;4327.03;2019-04-08 15:33:18.0
1;4327.18;2019-04-08 15:34:18.0
1;4327.03;2019-04-08 15:34:20.0
1;4327.18;2019-04-08 15:34:21.0
1;4326.94;2019-04-08 15:35:01.0
1;4326.86;2019-04-08 15:35:22.0
1;4326.82;2019-04-08 15:35:45.0
1;4326.86;2019-04-08 15:36:05.0
1;4325.87;2019-04-08 15:36:26.0
1;4325.95;2019-04-08 15:36:47.0
1;4325.87;2019-04-08 15:37:09.0
1;4325.88;2019-04-08 15:37:30.0
1;4325.87;2019-04-08 15:37:51.0
1;4326.17;2019-04-08 15:38:13.0
1;4326.86;2019-04-08 15:38:34.0
1;4326.67;2019-04-08 15:38:55.0
1;4326.66;2019-04-08 15:39:16.0
1;4326.37;2019-04-08 15:39:37.0
1;4326.58;2019-04-08 15:39:38.0
1;4326.37;2019-04-08 15:39:40.0
1;4326.58;2019-04-08 15:39:44.0
1;4326.37;2019-04-08 15:39:47.0
1;4326.58;2019-04-08 15:39:54.0
1;4326.37;2019-04-08 15:39:56.0
1;4326.71;2019-04-08 15:39:58.0
1;4326.88;2019-04-08 15:40:18.0
1;4327.14;2019-04-08 15:40:43.0
1;4326.88;2019-04-08 15:41:01.0
1;4327.35;2019-04-08 15:41:10.0
1;4326.88;2019-04-08 15:41:11.0
1;4327.35;2019-04-08 15:41:18.0
1;4326.88;2019-04-08 15:41:19.0
1;4327.35;2019-04-08 15:41:20.0
1;4325.68;2019-04-08 15:41:46.0
1;4327.35;2019-04-08 15:41:52.0
1;4325.68;2019-04-08 15:41:53.0
1;4327.35;2019-04-08 15:41:55.0
1;4325.68;2019-04-08 15:41:56.0
1;4327.35;2019-04-08 15:41:57.0
1;4325.68;2019-04-08 15:41:58.0
1;4327.35;2019-04-08 15:42:01.0
1;4325.68;2019-04-08 15:42:04.0
1;4325.54;2019-04-08 15:42:08.0
1;4325.58;2019-04-08 15:42:14.0
1;4325.54;2019-04-08 15:42:16.0
1;4325.58;2019-04-08 15:42:19.0
1;4325.54;2019-04-08 15:42:20.0
1;4325.58;2019-04-08 15:42:21.0
1;4325.54;2019-04-08 15:42:24.0
1;4325.62;2019-04-08 15:42:25.0
1;4325.54;2019-04-08 15:42:27.0
1;4325.62;2019-04-08 15:42:31.0
1;4325.54;2019-04-08 15:42:32.0
1;4325.62;2019-04-08 15:42:36.0
1;4325.54;2019-04-08 15:42:37.0
1;4325.62;2019-04-08 15:42:38.0
1;4325.54;2019-04-08 15:42:40.0
1;4325.62;2019-04-08 15:42:44.0
1;4325.54;2019-04-08 15:42:45.0
1;4324.66;2019-04-08 15:42:47.0
1;4324.38;2019-04-08 15:42:52.0
1;4324.66;2019-04-08 15:42:53.0
1;4324.38;2019-04-08 15:42:54.0
1;4324.66;2019-04-08 15:43:00.0
1;4324.38;2019-04-08 15:43:01.0
1;4324.66;2019-04-08 15:43:02.0
1;4324.38;2019-04-08 15:43:04.0
1;4325.54;2019-04-08 15:43:08.0
1;4324.38;2019-04-08 15:43:09.0
1;4325.54;2019-04-08 15:43:11.0
1;4324.39;2019-04-08 15:43:12.0
1;4325.54;2019-04-08 15:43:16.0
1;4324.39;2019-04-08 15:43:17.0
1;4325.54;2019-04-08 15:43:21.0
1;4324.39;2019-04-08 15:43:22.0
1;4325.54;2019-04-08 15:43:25.0
1;4324.39;2019-04-08 15:43:26.0
1;4325.54;2019-04-08 15:43:28.0
1;4324.39;2019-04-08 15:43:29.0
1;4324.35;2019-04-08 15:43:30.0
1;4324.39;2019-04-08 15:43:32.0
1;4324.35;2019-04-08 15:43:34.0
1;4324.03;2019-04-08 15:43:51.0
1;4324.35;2019-04-08 15:43:53.0
1;4324.03;2019-04-08 15:43:55.0
1;4324.01;2019-04-08 15:44:13.0
1;4324.3;2019-04-08 15:44:35.0
1;4324.73;2019-04-08 15:44:58.0
1;4324.93;2019-04-08 15:45:16.0
1;4324.73;2019-04-08 15:45:18.0
1;4324.93;2019-04-08 15:45:20.0
1;4324.92;2019-04-08 15:45:59.0
1;4324.93;2019-04-08 15:46:00.0
1;4324.92;2019-04-08 15:46:01.0
1;4329.18;2019-04-08 15:50:37.0
1;4324.92;2019-04-08 15:50:38.0
1;4329.18;2019-04-08 15:50:40.0
2;3438.65;2019-04-08 14:29:28.0
2;3439.65;2019-04-08 14:29:45.0
2;3439.55;2019-04-08 14:29:50.0
2;3438.55;2019-04-08 14:30:20.0
2;3438.35;2019-04-08 14:30:21.0
2;3438.45;2019-04-08 14:30:28.0
2;3438.35;2019-04-08 14:30:29.0
2;3438.45;2019-04-08 14:30:31.0
2;3437.55;2019-04-08 14:31:05.0
2;3438.55;2019-04-08 14:31:18.0
2;3438.65;2019-04-08 14:32:31.0
2;3439.65;2019-04-08 14:32:43.0
2;3438.65;2019-04-08 14:32:44.0
2;3439.65;2019-04-08 14:32:47.0
2;3439.45;2019-04-08 14:33:02.0
2;3439.55;2019-04-08 14:34:06.0
2;3438.55;2019-04-08 14:34:17.0
2;3439.55;2019-04-08 14:34:18.0
2;3438.55;2019-04-08 14:34:20.0
2;3438.65;2019-04-08 14:35:45.0
2;3438.75;2019-04-08 14:36:20.0
2;3439.75;2019-04-08 14:36:28.0
2;3439.55;2019-04-08 14:36:47.0
2;3439.65;2019-04-08 14:37:21.0
2;3439.55;2019-04-08 14:38:06.0
2;3437.95;2019-04-08 15:14:11.0
2;3436.95;2019-04-08 15:14:12.0
